ablaufglied,     step logic element,
ablaufinvariant,    reentrant,
ablaufkette,     sequence cascade,
ablaufrechner,     object computer,
ablaufrohr,     drain pipe,
ablaufschaltwerk,     sequence processor,
ablaufschritt m,    step,
ablaufsteuerung,     sequential control; sequentiel control,
ablaufverfolger,     tracer,
ablaufverfolgung,     backtrace; tracing,
ablaufzeit,    elapse time,
ablauf zeitlich,     cycle,
ablaut,     vowel gradation,
ablaute,     vowel gradations,
ablaßhahn,     drain cock,
ablaßkanal,     drain,
ablecken,    to lick off,
ableckend,    licking off,
ablegen,    to discard,
ablegend,    depositing; discarding,
ableger,     offset; scion; scions,
ablehnen,    to decline; to defeat; to deprecate; to depreciate; to disclaim; to disown; to refuse; to reject; to repudiate; to spurn; to turn down,
ablehnend,    declining; deprecating; deprecatory; depreciating; disclaiming; disliking; disowning; negative; refusing; renunciative; repudiating; spurning,
ablehnende,    renunciatory,
ablehnung,     disaffirmation; refusal; refusals,
ablehnungen,     disaffirmations,
ablehnungshinweis,     disclaimer,
ableisten,    to fulfill,
ableistend,    fulfilling,
ableitbar,    derivable; inferable,
ableiten,    to derivate; to dissipate; to divert; to drain,
ableitend,    deducing; derivating; deriving; revulsive,
ableitende,    revulsively,
ableiten spannung,    to bleed off,
ableiten von,    to derive from,
ableiter,     deflector,
ableitkondensator,     bypass capacitor,
ableitung,     deduction; derivation; derivative; derive; partial / total; revulsion,
ableitungen,     derivations; derivatives,
ableitung  math,       derivative,
ableitungskanal,     drainage,
ablenkbar,    deflectable,
ablenken,    to deviate; to divert; to refract,
ablenkend,    deflecting; distracting; distractive; diverting,
ablenken licht,    to diffract,
ablenkspule,     deflector,
ablenkung,     deflection; distaction; distraction,
ablenkungen,     deflections; distractions,
ablesen,    to read off,
ablesend,    reading off,
ablesung,     reading,
ableugnen,    to abnegate; to disavow,
ableugnend,    abnegating; disavowing,
ablichtungen,    photographs,
abliefern,    to deliver,
ablieferungen,    deliveries,
abliegen,    to be far off,
abliegend,    being far off,
abluft,     extracted air,
abläufe,     drains; procedures; processes,
ablösbar,    detachable,
ablöschend,    extinguishing,
ablösen,    to unsolder,
ablösend,    detaching; unsoldering,
ablösesumme,     transfer fee,
ablösung,     detachment; redemption; relief; removal; repayment,
ablöten,    to desolder; to unsolder,
abmachen,    to arrange; to settle; to untack,
abmachung,     arrangement; bargain; settlement,
abmagern,    to lose weight,
abmagernd,    losing weight; peaking,
abmagerung,     emaciation,
abmahnung,     dissuasiveness,
abmarsch,     decampment,
abmarschieren,    to decamp; to march-off,
abmarschierend,    decamping; marching-off,
abmarschiert,    marched-off,
abmarschierte,    decamped,
abmelden,    to give notice of depature,
abmeldend,    to giving notice of depature,
abmeldung,     notice of departure,
abmessen,    to gauge; to measure off,
abmessung,     dimension,
abmildernd,    moderating,
abmontieren,    to unrig,
abmusternd,    paying off,
abmähen,    to scythe,
abmähend,    scything,
abmühen,    to struggle with,
abmühend,    struggling with,
abnagen,    to gnaw; to gnaw off,
abnagend,    gnawing,
abnagende,    gnawing off,
abnahme,     acceptance; acceptance sampling plan; certification; decrease; inspection,
abnahmebedingungen,     acceptability standards; acceptance terms,
abnahmebereich,     acceptance region,
abnahmebescheinigung,     acceptance certificate,
abnahmekonfiguration,     acceptance configuration,
abnahmekontrolle,     acceptance inspection; acceptance sampling,
abnahmelinie,     acceptance line,
abnahmemenge  von  stück,     quantity of ... units,
abnahmeprotokoll,     acceptance certificate; test certificate,
abnahmeprüfung,     acceptance inspection; acceptance test; proof test; specification test,
abnahmequittung,     acceptor handshake,
abnahmetest,     acceptance trial,
abnahmevorschrift,     acceptance test procedure,
abnahmevorschriften,     acceptance standards,
abnahmezahl,     acceptance number,
abnehmbar,    detachable; diminishable; removable; shrinkable,
abnehmen,    slim; to decrease; to lose weight; to take down; to take off; to wane; wanes,
abnehmend,    decreasingly; diminuendo; slimming; waning,
abnehmer,     accepter; acceptor; account debtor; taker,
abneigung,     antipathy; aversion; disinclination; dislike; indisposition; reluctance; repugnance,
abneigungen,     antipathies; aversenesses; aversions; disinclinations; indispositions; repugnances,
abnorm,    abnormally; bastardly,
abnormal,    abnormal,
abnormer geschlechtstrieb des mannes,    satyriasis,
abnormität,     anomalousness,
abnormitäten,     anomalousnesses,
abnutzen,    outwear; scuff; to wear; to wear away; to wear off; to wear out; wear out,
abnutzend,    outwearing,
abnutzen durch reibung,    fret,
abnutzung,     fading; scuff; wastage; wearout,
abnötigen,    to wring from,
abnötigende,    wringing from,
abnützend,    wearing; wearing out,
abnützung,     abrasion; waer,
abonnement,     subscription,
abonnements,     subscriptions,
abonnementvorstellung,     subscription performance,
abonnementvorstellungen,     subscription performances,
abonnent,     subscriber,
abonnenten,     subscribers,
abonnieren,    to subscribe,
abonnierend,    subscribing,
abonniert,    subscribed,
abordnend,    delegating,
abordnung,     delegacy; delegation,
abordnungen,     delegations,
aborte,     toilets,
abpassend,    adjusting,
abpflücken,    to pick,
abpflückend,    picking,
abplagend,    working onself to death,
abprall,     rebound,
abprallen,    to recoil; to ricochet,
abprallend,    rebounding; recoiling; ricocheting,
abprotzen,    to unlimber,
abprotzend,    unlimbering,
abputzen,    clean,
abputzend,    cleaning,
abquetschend,    squeezing,
abquälend,    worrying,
abrackern,    to drudge; to fag,
abrackernd,    drudging; fagging,
abraten,     dissuasion,
abratend,    dissuading; dissuading from,
abratende,    dissuasively,
abraten von,    to dissuade     abreacting,
abreagiert,    abreacted,
abrechnen,    to deduct,
abrechnend,    deducting,
abrechnen spesen,    to account for,
abrechnung,     accounting; deduction; payoff; statement,
abrechnungscomputer,     accounting computer,
abrechnungsdatei,     accounting file,
abrechnungsmaschine,     accounting machine,
abrechnungsperiode,     account period; accounting period,
abrechnungsprotokolldatei,     accounting log file,
abrechnungsroutine,     accounting routine,
abrechnungszeitraum,     accounting period,
abrede,     understanding,
abreiben,    to abrade; to rub off  Abreiben       abrasiveness,
abreibend,    abrading; abrasively; rubbing off; towelling,
abreibung,     abrasion; attrition; rubdown,
abreise,    departure  Abreise       departure,
abreisen,    to depart  Abreisen       depart,
abreisend,    departing,
abreißen,    to snap out; to tear off,
abreißend,    tearing off,
abreißzettel,     stub,
abrichten,    drill,
abrieb,     attrition,
abriegelnd,    bolting,
abriss,     abstract; outline,
abriss  eines buches,     outline     stub; talon,
abrißkante,     tear-off edge,
abrißkarte,     scored card,
abrollen,    to unroll,
abrollend,    unrolling,
abroller,     dispenser,
abruf,     fetch,
abrufen,    to demand; to fetch,
abruftaste,     attention key,
abrufzyklus eines befehls,     fetch cycle,
abrunden,    to round off,
abrundung,     rounding,
abruptere,    more abrupt,
abrupteste,    most abrupt,
abrutschen,    to slip off,
abrutschend,    slipping off,
abrücken,    to move away,
abrückend,    moving away,
abrüsten,    to disarm,
abrüstend,    disarming,
abrüstung,     disarmament,
abrüstungskonferenz,     disarmament conference,
absacken,    sunk; sunken ; to sink ;sank,
absage,     cancellation; refusal,
absagen,    to call off; to renege,
absagend,    reneging,
absahnen,    to get on the gravy train; to skim,
absahnend,    skimming,
absatteln,    unsaddle,
absattelnd,    unsaddling,
absatz,     heel; landing; marketing; paragraph,
absatz  buchdruck,     break,
absatzfähig,    marketable,
absatzförderung,     sales promotion,
absatzgebiet,     marker; sales territory; trading area  Absatzgebiet)      to open     markets,
absatz  gelände,     terrace,
absatzkrise,     sales crisis,
